i,1DATE PRINTED: 31/10/1,9    00:35:09,,,,,,01/11/19       PAGE,1
?,JACCS INTER. VIETNAM,FINANCE,BRANCH: 01000,,,,,,
?,BRANCH: 01000 JIVF HO,CHI MINH,,,,,,,
?,LIST OF ACCOUNT IN CO,LLECTION,,,,,,,
?,,,,,,,,,
?,CURRENCY : VND,DONG,,,,,,,
?,,,,,,,,,
?,GROUP    : 410,DELIQUENCY GROUP,A,,,,,,
?,,,,,,,,,
?,OFFICER  : CC1,ACCELLENCE COLLE,CTOR,,,,,,
?,,,,,,,,,
?,ACCOUNT NUMBER,MOBILE PHONE,CUSTOMER NAME,TYPE,CURR,DUE DATE,"OVERDUE AMT, P+I","CUR BAL, P+I",OVER DUE
?,-------------------,------------------,------------------------------,----,----,----------,--------------------,--------------------,----------
?,20080000009405,90267688,NGUYEN VAN 67688,8,VND,22/10/2019,"300,228","3,615,383",22/10/2019
?,20080000009751,90269099,NGUYEN VAN 69099,8,VND,22/10/2019,"286,328","3,476,504",22/10/2019
?,20080000009959,901035986,NGUYEN THI 35976,8,VND,31/10/2019,"203,524","4,398,200",31/10/2019
?,20080000010411,90272538,NGUYEN VAN 72538,8,VND,31/10/2019,"487,233","7,140,413",31/10/2019
?,20080000010544,90272071,NGUYEN VAN 72071,8,VND,22/10/2019,"383,884","4,878,549",22/10/2019
?,20080000010759,90273474,NGUYEN VAN 73474,8,VND,22/10/2019,"303,192","3,869,901",22/10/2019
?,20080000011005,90275500,NGUYEN VAN 75500,8,VND,22/10/2019,"383,096","5,076,702",22/10/2019
?,20080000011112,90275726,NGUYEN VAN 75726,8,VND,22/10/2019,"386,281","4,660,003",22/10/2019
?,20080000011377,90276875,NGUYEN VAN 76875,8,VND,22/10/2019,"276,937","3,310,121",22/10/2019
?,20080000011609,90273713,NGUYEN VAN 73713,8,VND,22/10/2019,"262,390","3,359,871",22/10/2019
?,20080000011823,90274826,NGUYEN VAN 74826,8,VND,22/10/2019,"259,781","3,327,257",22/10/2019
?,20080000011914,90276630,NGUYEN VAN 76630,8,VND,22/10/2019,"60,899","4,740,981",22/10/2019
?,20080000012177,90278695,NGUYEN VAN 78695,8,VND,22/10/2019,"256,597","3,332,317",22/10/2019
?,20080000012250,90277840,NGUYEN VAN 77840,8,VND,22/10/2019,"298,860","3,528,252",22/10/2019
?,20080000012557,90280349,NGUYEN VAN 80349,8,VND,22/10/2019,"279,405","3,321,268",22/10/2019
?,20080000012904,90281534,NGUYEN VAN 81534,8,VND,22/10/2019,"286,342","3,659,269",22/10/2019
